ISIC,ISIC TITLE,2006 ANZSIC,2006 ANZSIC TITLE
111,"Growing of cereals (except rice), leguminous crops and oil seeds",0122p,Vegetable Growing (Under Cover)
111,"Growing of cereals (except rice), leguminous crops and oil seeds",0123p,Vegetable Growing (Outdoors)
111,"Growing of cereals (except rice), leguminous crops and oil seeds",0149p,Other Grain Growing
111,"Growing of cereals (except rice), leguminous crops and oil seeds",0159p,Other Crop Growing n.e.c.
112,Growing of rice,146,Rice Growing
113,"Growing of vegetables and melons, roots and tubers",0121p,Mushroom Growing
113,"Growing of vegetables and melons, roots and tubers",0122p,Vegetable Growing (Under Cover)
113,"Growing of vegetables and melons, roots and tubers",0123p,Vegetable Growing (Outdoors)
114,Growing of sugar cane,151,Sugar Cane Growing
115,Growing of tobacco,0159p,Other Crop Growing n.e.c.
116,Growing of fibre crops,152,Cotton Growing
116,Growing of fibre crops,0159p,Other Crop Growing n.e.c.
119,Growing of other non-perennial crops,0114p,Floriculture Production (Under Cover)
119,Growing of other non-perennial crops,0115p,Floriculture Production (Outdoors)
119,Growing of other non-perennial crops,0122p,Vegetable Growing (Under Cover)
119,Growing of other non-perennial crops,0123p,Vegetable Growing (Outdoors)
119,Growing of other non-perennial crops,0149p,Other Grain Growing
119,Growing of other non-perennial crops,0159p,Other Crop Growing n.e.c.
121,Growing of grapes,131,Grape Growing
122,Growing of tropical and subtropical fruits,0139p,Other Fruit and Tree Nut Growing
123,Growing of citrus fruits,136,Citrus Fruit Growing
124,Growing of pome fruits and stone fruits,134,Apple and Pear Growing
124,Growing of pome fruits and stone fruits,135,Stone Fruit Growing
125,Growing of other tree and bush fruits and nuts,132,Kiwifruit Growing
125,Growing of other tree and bush fruits and nuts,133,Berry Fruit Growing
125,Growing of other tree and bush fruits and nuts,0139p,Other Fruit and Tree Nut Growing
126,Growing of oleaginous fruits,137,Olive Growing
126,Growing of oleaginous fruits,0139p,Other Fruit and Tree Nut Growing
127,Growing of beverage crops,0159p,Other Crop Growing n.e.c.
128,"Growing of spices, aromatic, drug and pharmaceutical crops",0122p,Vegetable Growing (Under Cover)
128,"Growing of spices, aromatic, drug and pharmaceutical crops",0123p,Vegetable Growing (Outdoors)
128,"Growing of spices, aromatic, drug and pharmaceutical crops",0159p,Other Crop Growing n.e.c.
129,Growing of other perennial crops,0111p,Nursery Production (Under Cover)
129,Growing of other perennial crops,0112p,Nursery Production (Outdoors)
129,Growing of other perennial crops,0114p,Floriculture Production (Under Cover)
129,Growing of other perennial crops,0115p,Floriculture Production (Outdoors)
129,Growing of other perennial crops,0122p,Vegetable Growing (Under Cover)
129,Growing of other perennial crops,0123p,Vegetable Growing (Outdoors)
129,Growing of other perennial crops,0159p,Other Crop Growing n.e.c.
130,Plant propagation,0111p,Nursery Production (Under Cover)
130,Plant propagation,0112p,Nursery Production (Outdoors)
130,Plant propagation,113,Turf Growing
130,Plant propagation,0121p,Mushroom Growing
141,Raising of cattle and buffaloes,0142p,Beef Cattle Farming (Specialised)
141,Raising of cattle and buffaloes,143,Beef Cattle Feedlots (Specialised)
141,Raising of cattle and buffaloes,0144p,Sheep-Beef Cattle Farming
141,Raising of cattle and buffaloes,160,Dairy Cattle Farming
142,Raising of horses and other equines,0191p,Horse Farming
142,Raising of horses and other equines,0199p,Other Livestock Farming n.e.c.
143,Raising of camels and camelids,0199p,Other Livestock Farming n.e.c.
144,Raising of sheep and goats,0141p,Sheep Farming (Specialised)
144,Raising of sheep and goats,0144p,Sheep-Beef Cattle Farming
144,Raising of sheep and goats,0199p,Other Livestock Farming n.e.c.
145,Raising of swine/pigs,192,Pig Farming
146,Raising of poultry,171,Poultry Farming (Meat)
146,Raising of poultry,172,Poultry Farming (Eggs) 
149,Raising of other animals,180,Deer Farming
149,Raising of other animals,193,Beekeeping
149,Raising of other animals,0199p,Other Livestock Farming n.e.c.
150,Mixed farming,145,Grain-Sheep or Grain-Beef Cattle Farming
161,Support activities for crop production,0529p,Other Agriculture and Fishing Support Services
162,Support activities for animal production,0141p,Sheep Farming (Specialised)
162,Support activities for animal production,0142p,Beef Cattle Farming (Specialised)
162,Support activities for animal production,0191p,Horse Farming
162,Support activities for animal production,522,Shearing Services
162,Support activities for animal production,0529p,Other Agriculture and Fishing Support Services
163,Post-harvest crop activities,521,Cotton Ginning
163,Post-harvest crop activities,0529p,Other Agriculture and Fishing Support Services
164,Seed processing for propagation,0529p,Other Agriculture and Fishing Support Services
170,"Hunting, trapping and related service activities",420,Hunting and Trapping
210,Silviculture and other forestry activities,0301p,Forestry
210,Silviculture and other forestry activities,0510p,Forestry Support Services
220,Logging,302,Logging
230,Gathering of non-wood forest products,0301p,Forestry
240,Support services to forestry,0510p,Forestry Support Services
240,Support services to forestry,6962p,Management Advice and Related Consulting Services
240,Support services to forestry,7713p,Fire Protection and Other Emergency Services
311,Marine fishing,411,Rock Lobster and Crab Potting
311,Marine fishing,412,Prawn Fishing
311,Marine fishing,413,Line Fishing
311,Marine fishing,414,"Fish Trawling, Seining and Netting"
311,Marine fishing,0419p,Other Fishing
311,Marine fishing,0529p,Other Agriculture and Fishing Support Services
311,Marine fishing,1120p,Seafood Processing
312,Freshwater fishing,0419p,Other Fishing
312,Freshwater fishing,0529p,Other Agriculture and Fishing Support Services
321,Marine aquaculture,201,Offshore Longline and Rack Aquaculture
321,Marine aquaculture,202,Offshore Caged Aquaculture
321,Marine aquaculture,0203p,Onshore Aquaculture
322,Freshwater aquaculture,0203p,Onshore Aquaculture
510,Mining of hard coal,0600p,Coal Mining
510,Mining of hard coal,6999p,"Other Professional, Scientific and Technical Services n.e.c."
520,Mining of lignite,0600p,Coal Mining
610,Extraction of crude petroleum,0700p,Oil and Gas Extraction
620,Extraction of natural gas,0700p,Oil and Gas Extraction
710,Mining of iron ores,801,Iron Ore Mining
721,Mining of uranium and thorium ores,0809p,Other Metal Ore Mining
729,Mining of other non-ferrous metal ores,802,Bauxite Mining
729,Mining of other non-ferrous metal ores,803,Copper Ore Mining
729,Mining of other non-ferrous metal ores,804,Gold Ore Mining
729,Mining of other non-ferrous metal ores,805,Mineral Sand Mining
729,Mining of other non-ferrous metal ores,806,Nickel Ore Mining
729,Mining of other non-ferrous metal ores,807,Silver-Lead-Zinc Ore Mining
729,Mining of other non-ferrous metal ores,0809p,Other Metal Ore Mining
810,"Quarrying of stone, sand and clay",911,Gravel and Sand Quarrying
810,"Quarrying of stone, sand and clay",919,Other Construction Material Mining
810,"Quarrying of stone, sand and clay",0990p,Other Non-Metallic Mineral Mining and Quarrying
891,Mining of chemical and fertilizer minerals,0990p,Other Non-Metallic Mineral Mining and Quarrying
892,Extraction of peat,0600p,Coal Mining
893,Extraction of salt,0990p,Other Non-Metallic Mineral Mining and Quarrying
899,Other mining and quarrying n.e.c.,0990p,Other Non-Metallic Mineral Mining and Quarrying
910,Support activities for petroleum and natural gas extraction,0700p,Oil and Gas Extraction
910,Support activities for petroleum and natural gas extraction,1011,Petroleum Exploration
910,Support activities for petroleum and natural gas extraction,1090p,Other Mining Support Services
910,Support activities for petroleum and natural gas extraction,6999p,"Other Professional, Scientific and Technical Services n.e.c."
910,Support activities for petroleum and natural gas extraction,7713p,Fire Protection and Other Emergency Services
990,Support activities for other mining and quarrying,1012,Mineral Exploration
990,Support activities for other mining and quarrying,1090p,Other Mining Support Services
990,Support activities for other mining and quarrying,6999p,"Other Professional, Scientific and Technical Services n.e.c."
1010,Processing and preserving of meat,1111p,Meat Processing
1010,Processing and preserving of meat,1112p,Poultry Processing
1010,Processing and preserving of meat,1113p,Cured Meat and Smallgoods Manufacturing
1020,"Processing and preserving of fish, crustaceans and molluscs",1120p,Seafood Processing
1030,Processing and preserving of fruit and vegetables,1140p,Fruit and Vegetable Processing
1030,Processing and preserving of fruit and vegetables,1191p,"Potato, Corn and Other Crisp Manufacturing"
1030,Processing and preserving of fruit and vegetables,1199p,Other Food Product Manufacturing n.e.c.
1030,Processing and preserving of fruit and vegetables,1211p,"Soft Drink, Cordial and Syrup Manufacturing"
1040,Manufacture of vegetable and animal oils and fats,1150p,Oil and Fat Manufacturing
1050,Manufacture of dairy products,1131,Milk and Cream Processing
1050,Manufacture of dairy products,1132,Ice Cream Manufacturing
1050,Manufacture of dairy products,1133p,Cheese and Other Dairy Product Manufacturing
1061,Manufacture of grain mill products,1161p,Grain Mill Product Manufacturing
1061,Manufacture of grain mill products,1162p,"Cereal, Pasta and Baking Mix Manufacturing"
1061,Manufacture of grain mill products,1171p,Bread Manufacturing (Factory based)
1062,Manufacture of starches and starch products,1150p,Oil and Fat Manufacturing
1062,Manufacture of starches and starch products,1161p,Grain Mill Product Manufacturing
1071,Manufacture of bakery products,1171p,Bread Manufacturing (Factory based)
1071,Manufacture of bakery products,1172,Cake and Pastry Manufacturing (Factory based)
1071,Manufacture of bakery products,1173,Biscuit Manufacturing (Factory based)
1071,Manufacture of bakery products,1174,Bakery Product Manufacturing (Non-factory based)
1071,Manufacture of bakery products,1191p,"Potato, Corn and Other Crisp Manufacturing"
1071,Manufacture of bakery products,1199p,Other Food Product Manufacturing n.e.c.
1072,Manufacture of sugar,1181,Sugar Manufacturing
1073,"Manufacture of cocoa, chocolate and sugar confectionery",1150p,Oil and Fat Manufacturing
1073,"Manufacture of cocoa, chocolate and sugar confectionery",1182,Confectionery Manufacturing
1074,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",1162p,"Cereal, Pasta and Baking Mix Manufacturing"
