2017 NAICS,2017 NAICS TITLE,ISIC,ISIC TITLE,Explanatory Notes
111110,Soybean farming,111,"Growing of cereals (except rice), leguminous crops and oil seeds",Soybean farming
111120,Oilseed (except soybean) farming,111,"Growing of cereals (except rice), leguminous crops and oil seeds",Oilseed (except soybean) farming
111130,Dry pea and bean farming,111,"Growing of cereals (except rice), leguminous crops and oil seeds",Dry pea and bean farming
111140,Wheat farming,111,"Growing of cereals (except rice), leguminous crops and oil seeds",Wheat farming
111150,Corn farming,111,"Growing of cereals (except rice), leguminous crops and oil seeds",Corn (except sweet corn) farming
111160,Rice farming,112,Growing of rice,
111190,Other grain farming,111,"Growing of cereals (except rice), leguminous crops and oil seeds","Grain, including wild rice (except oil seeds, dry peas and beans, wheat, corn and rice) farming and combinations of this industry group"
111211,Potato farming,113,"Growing of vegetables and melons, roots and tubers","Potatoes, yams and sweet potatoes farming"
111219,Other vegetable (except potato) and melon farming,113,"Growing of vegetables and melons, roots and tubers","Vegetables (except potatoes, peppers, mangels and other roots and tubers) and melons, grown in open fields"
111219,Other vegetable (except potato) and melon farming,119,Growing of other non-perennial crops,Mangels and other roots and tubers (except potato)
111219,Other vegetable (except potato) and melon farming,128,"Growing of spices, aromatic, drug and pharmaceutical crops","Pepper farming (e.g., bell, chili, green, hot, red, sweet)"
111310,Orange groves,123,Growing of citrus fruits,Orange growing
111320,Citrus (except orange) groves,123,Growing of citrus fruits,Growing citrus fruits (except oranges)
111330,Non-citrus fruit and tree nut farming,121,Growing of grapes,
111330,Non-citrus fruit and tree nut farming,122,Growing of tropical and subtropical fruits,
111330,Non-citrus fruit and tree nut farming,124,Growing of pome fruits and stone fruits,
111330,Non-citrus fruit and tree nut farming,125,Growing of other tree and bush fruits and nuts,Growing of berries or edible nuts
111330,Non-citrus fruit and tree nut farming,126,Growing of oleaginous fruits,
111330,Non-citrus fruit and tree nut farming,127,Growing of beverage crops,Coffee farming
111411,Mushroom production,113,"Growing of vegetables and melons, roots and tubers","Mushrooms, farming"
111411,Mushroom production,130,Plant propagation,Mushroom spawn farming
111412,Cannabis grown under cover,128,"Growing of spices, aromatic, drug and pharmaceutical crops","Marijuana and cannabis grown under cover, hydroponically, cannabis seeds and seedlings grown under cover"
111412,Cannabis grown under cover,163, Post-harvest crop activities,processing for primary markets cannabis grown under cover
111419,Other food crops grown under cover,113,"Growing of vegetables and melons, roots and tubers","Vegetables and fruits, growing under cover"
111419,Other food crops grown under cover,125,Growing of other tree and bush fruits and nuts,"Fruits, growing under cover"
111419,Other food crops grown under cover,128,"Growing of spices, aromatic, drug and pharmaceutical crops","Spice crops, growing under cover"
111419,Other food crops grown under cover,322,Freshwater aquaculture,"Seaweed, growing under cover"
111421,Nursery and tree production,129,Growing of other perennial crops,"Short rotation tree farming (e.g., Christmas trees)"
111421,Nursery and tree production,130,Plant propagation,"Growing of shrubs, sod, seedlings, and similar nursery stock; tree nurseries (except forest tree nurseries)"
111422,Floriculture production,119,Growing of other non-perennial crops,"Flower growing, including flower seeds"
111910,Tobacco farming,115,Growing of tobacco,
