country,isic_code,measure,reporting_year,currency,power_code,value,prtr_system,value_usd,aggregate
AUS,TOT,Current prices,1987,AUD,Millions,374144.0,NPI,269383.68,99
AUS,A,Current prices,1987,AUD,Millions,16974.0,NPI,12221.279999999999,3
AUS,B,Current prices,1987,AUD,Millions,18193.0,NPI,13098.96,5
AUS,C,Current prices,1987,AUD,Millions,55804.0,NPI,40178.88,24
AUS,D,Current prices,1987,AUD,Millions,14656.0,NPI,10552.32,1
AUS,F,Current prices,1987,AUD,Millions,27800.0,NPI,20016.0,3
AUS,G,Current prices,1987,AUD,Millions,39659.0,NPI,28554.48,2
AUS,H,Current prices,1987,AUD,Millions,20003.0,NPI,14402.16,5
AUS,I,Current prices,1987,AUD,Millions,8221.0,NPI,5919.12,2
AUS,J,Current prices,1987,AUD,Millions,12903.0,NPI,9290.16,2
AUS,K,Current prices,1987,AUD,Millions,21642.0,NPI,15582.24,3
AUS,L,Current prices,1987,AUD,Millions,42983.0,NPI,30947.76,1
AUS,M,Current prices,1987,AUD,Millions,17070.0,NPI,12290.4,7
AUS,N,Current prices,1987,AUD,Millions,7966.0,NPI,5735.5199999999995,6
AUS,O,Current prices,1987,AUD,Millions,22838.0,NPI,16443.36,1
AUS,P,Current prices,1987,AUD,Millions,17278.0,NPI,12440.16,1
AUS,Q,Current prices,1987,AUD,Millions,19285.0,NPI,13885.199999999999,3
AUS,R,Current prices,1987,AUD,Millions,3020.0,NPI,2174.4,4
AUS,S,Current prices,1987,AUD,Millions,7851.0,NPI,5652.719999999999,3
AUS,46,Current prices,1987,AUD,Millions,20124.0,NPI,14489.279999999999,1
AUS,47,Current prices,1987,AUD,Millions,19535.0,NPI,14065.199999999999,1
AUS,68A,Current prices,1987,AUD,Millions,30419.0,NPI,21901.68,1
AUS,TOT,Current prices,1988,AUD,Millions,374144.0,NPI,269383.68,99
AUS,A,Current prices,1988,AUD,Millions,16974.0,NPI,12221.279999999999,3
AUS,B,Current prices,1988,AUD,Millions,18193.0,NPI,13098.96,5
AUS,C,Current prices,1988,AUD,Millions,55804.0,NPI,40178.88,24
AUS,D,Current prices,1988,AUD,Millions,14656.0,NPI,10552.32,1
AUS,F,Current prices,1988,AUD,Millions,27800.0,NPI,20016.0,3
AUS,G,Current prices,1988,AUD,Millions,39659.0,NPI,28554.48,2
AUS,H,Current prices,1988,AUD,Millions,20003.0,NPI,14402.16,5
AUS,I,Current prices,1988,AUD,Millions,8221.0,NPI,5919.12,2
AUS,J,Current prices,1988,AUD,Millions,12903.0,NPI,9290.16,2
AUS,K,Current prices,1988,AUD,Millions,21642.0,NPI,15582.24,3
AUS,L,Current prices,1988,AUD,Millions,42983.0,NPI,30947.76,1
AUS,M,Current prices,1988,AUD,Millions,17070.0,NPI,12290.4,7
AUS,N,Current prices,1988,AUD,Millions,7966.0,NPI,5735.5199999999995,6
AUS,O,Current prices,1988,AUD,Millions,22838.0,NPI,16443.36,1
AUS,P,Current prices,1988,AUD,Millions,17278.0,NPI,12440.16,1
AUS,Q,Current prices,1988,AUD,Millions,19285.0,NPI,13885.199999999999,3
AUS,R,Current prices,1988,AUD,Millions,3020.0,NPI,2174.4,4
AUS,S,Current prices,1988,AUD,Millions,7851.0,NPI,5652.719999999999,3
AUS,46,Current prices,1988,AUD,Millions,20124.0,NPI,14489.279999999999,1
AUS,47,Current prices,1988,AUD,Millions,19535.0,NPI,14065.199999999999,1
AUS,68A,Current prices,1988,AUD,Millions,30419.0,NPI,21901.68,1
AUS,TOT,Current prices,1989,AUD,Millions,374144.0,NPI,269383.68,99
AUS,A,Current prices,1989,AUD,Millions,16974.0,NPI,12221.279999999999,3
AUS,B,Current prices,1989,AUD,Millions,18193.0,NPI,13098.96,5
AUS,C,Current prices,1989,AUD,Millions,55804.0,NPI,40178.88,24
AUS,D,Current prices,1989,AUD,Millions,14656.0,NPI,10552.32,1
AUS,F,Current prices,1989,AUD,Millions,27800.0,NPI,20016.0,3
AUS,G,Current prices,1989,AUD,Millions,39659.0,NPI,28554.48,2
AUS,H,Current prices,1989,AUD,Millions,20003.0,NPI,14402.16,5
AUS,I,Current prices,1989,AUD,Millions,8221.0,NPI,5919.12,2
AUS,J,Current prices,1989,AUD,Millions,12903.0,NPI,9290.16,2
AUS,K,Current prices,1989,AUD,Millions,21642.0,NPI,15582.24,3
AUS,L,Current prices,1989,AUD,Millions,42983.0,NPI,30947.76,1
AUS,M,Current prices,1989,AUD,Millions,17070.0,NPI,12290.4,7
AUS,N,Current prices,1989,AUD,Millions,7966.0,NPI,5735.5199999999995,6
AUS,O,Current prices,1989,AUD,Millions,22838.0,NPI,16443.36,1
AUS,P,Current prices,1989,AUD,Millions,17278.0,NPI,12440.16,1
AUS,Q,Current prices,1989,AUD,Millions,19285.0,NPI,13885.199999999999,3
AUS,R,Current prices,1989,AUD,Millions,3020.0,NPI,2174.4,4
AUS,S,Current prices,1989,AUD,Millions,7851.0,NPI,5652.719999999999,3
AUS,46,Current prices,1989,AUD,Millions,20124.0,NPI,14489.279999999999,1
