cas_number,price,purity,quantity_unit,currency,reporting_year,quantity
10124375,207,95-98%,g,USD,2020,1.0
95807,58,95-98%,g,USD,2020,5.0
95807,205,95-98%,g,USD,2020,25.0
95807,24,95-98%,g,USD,2020,25.0
95807,20,95-98%,g,EUR,2020,25.0
95807,20,95-98%,g,GBP,2020,25.0
95807,275,95-98%,g,CNY,2020,25.0
95807,49.5,95-98%,g,SGD,2020,25.0
95807,3600,95-98%,g,JPY,2020,25.0
95807,379,90-94%,mg,GBP,2020,500.0
95807,10,95-98%,g,USD,2020,1.0
95807,15,95-98%,g,USD,2020,5.0
95807,40,95-98%,g,USD,2020,25.0
95807,80,95-98%,g,USD,2020,100.0
95807,51200,95-98%,g,KRW,2020,25.0
95807,45,95-98%,g,USD,2020,1.0
95807,50,95-98%,g,USD,2020,10.0
95807,55,95-98%,g,USD,2020,50.0
95807,135,95-98%,g,USD,2020,250.0
95807,25000,95-98%,g,JPY,2020,500.0
95807,3900,95-98%,g,JPY,2020,25.0
95807,19,95-98%,mg,USD,2020,500.0
95807,21,95-98%,g,USD,2020,1.0
95807,40,95-98%,g,USD,2020,2.5
95807,60,95-98%,g,USD,2020,5.0
95807,84,95-98%,g,USD,2020,10.0
95807,36.3,,g,USD,2020,1.0
95807,37.8,,g,USD,2020,5.0
95807,46.6,,g,USD,2020,10.0
95807,253,95-98%,g,USD,2020,500.0
95807,40,95-98%,g,USD,2020,25.0
95807,11000,95-98%,g,JPY,2020,500.0
95807,2400,95-98%,g,JPY,2020,25.0
95807,8500,95-98%,g,JPY,2020,250.0
95807,5000,95-98%,mg,JPY,2020,500.0
95807,8500,,mg,JPY,2020,250.0
95807,28000,95-98%,kg,JPY,2020,1.0
95807,3000,95-98%,g,JPY,2020,25.0
95807,64.6,95-98%,g,EUR,2020,250.0
95807,124.4,95-98%,kg,EUR,2020,1.0
95807,10,95-98%,g,USD,2020,1.0
95807,15,95-98%,g,USD,2020,5.0
