generic_sector_code,reporting_year,prtr_system,gva
29,1987,TRI,104326.11
33,1987,TRI,11582.24
20,1987,TRI,109710.23
25,1987,TRI,108296.54
22,1987,TRI,57315.18
13,1987,TRI,27358.76
38,1987,TRI,16796.56
19,1987,TRI,40551.44
46,1987,TRI,385714.29
6,1987,TRI,51087.24
10,1987,TRI,89077.96
21,1987,TRI,63136.52
11,1987,TRI,12571.82
26,1987,TRI,196832.27
52,1987,TRI,47391.61
24,1987,TRI,58116.07
37,1987,TRI,497.73
5,1987,TRI,12301.54
7,1987,TRI,4094.87
16,1987,TRI,26708.72
35,1987,TRI,150739.44
23,1987,TRI,46539.4
15,1987,TRI,7470.38
8,1987,TRI,8567.8
9,1987,TRI,13455.91
49,1987,TRI,119904.14
27,1987,TRI,46800.23
82,1987,TRI,64224.8
17,1987,TRI,55277.75
1,1987,TRI,104207.97
45,1987,TRI,182933.58
85,1987,TRI,441337.62
96,1987,TRI,73550.45
32,1987,TRI,48959.72
30,1987,TRI,62490.59
28,1987,TRI,102457.55
31,1987,TRI,27895.53
72,1987,TRI,60149.58
86,1987,TRI,414566.78
84,1987,TRI,750295.37
61,1987,TRI,170384.58
36,1987,TRI,3262.09
42,1987,TRI,48527.17
71,1987,TRI,73254.23
51,1987,TRI,48015.89
39,1987,TRI,4558.31
69,1987,TRI,147962.48
18,1987,TRI,37380.65
93,1987,TRI,35741.17
63,1987,TRI,29892.48
95,1987,TRI,23597.01
14,1987,TRI,17672.31
59,1987,TRI,39241.8
47,1987,TRI,379736.71
50,1987,TRI,6719.87
94,1987,TRI,43532.45
2,1987,TRI,7722.6
12,1987,TRI,21358.43
58,1987,TRI,96499.79
68,1987,TRI,553816.6
62,1987,TRI,74469.63
74,1987,TRI,49058.97
41,1987,TRI,290393.52
77,1987,TRI,101457.12
66,1987,TRI,63031.84
70,1987,TRI,168834.8
56,1987,TRI,133321.43
81,1987,TRI,37303.14
43,1987,TRI,0.0
53,1987,TRI,73223.04
73,1987,TRI,38439.79
60,1987,TRI,34696.27
29,1988,TRI,104326.11
33,1988,TRI,11582.24
20,1988,TRI,109710.23
25,1988,TRI,108296.54
22,1988,TRI,57315.18
13,1988,TRI,27358.76
38,1988,TRI,16796.56
19,1988,TRI,40551.44
46,1988,TRI,385714.29
6,1988,TRI,51087.24
10,1988,TRI,89077.96
21,1988,TRI,63136.52
11,1988,TRI,12571.82
26,1988,TRI,196832.27
52,1988,TRI,47391.61
24,1988,TRI,58116.07
37,1988,TRI,497.73
5,1988,TRI,12301.54
7,1988,TRI,4094.87
16,1988,TRI,26708.72
35,1988,TRI,150739.44
23,1988,TRI,46539.4
15,1988,TRI,7470.38
8,1988,TRI,8567.8
9,1988,TRI,13455.91
49,1988,TRI,119904.14
27,1988,TRI,46800.23
82,1988,TRI,64224.8
17,1988,TRI,55277.75
1,1988,TRI,104207.97
45,1988,TRI,182933.58
85,1988,TRI,441337.62
96,1988,TRI,73550.45
32,1988,TRI,48959.72
30,1988,TRI,62490.59
28,1988,TRI,102457.55
31,1988,TRI,27895.53
72,1988,TRI,60149.58
86,1988,TRI,414566.78
84,1988,TRI,750295.37
61,1988,TRI,170384.58
36,1988,TRI,3262.09
42,1988,TRI,48527.17
71,1988,TRI,73254.23
51,1988,TRI,48015.89
39,1988,TRI,4558.31
69,1988,TRI,147962.48
18,1988,TRI,37380.65
93,1988,TRI,35741.17
63,1988,TRI,29892.48
95,1988,TRI,23597.01
14,1988,TRI,17672.31
59,1988,TRI,39241.8
47,1988,TRI,379736.71
50,1988,TRI,6719.87
94,1988,TRI,43532.45
2,1988,TRI,7722.6
12,1988,TRI,21358.43
58,1988,TRI,96499.79
68,1988,TRI,553816.6
62,1988,TRI,74469.63
74,1988,TRI,49058.97
41,1988,TRI,290393.52
77,1988,TRI,101457.12
66,1988,TRI,63031.84
70,1988,TRI,168834.8
56,1988,TRI,133321.43
81,1988,TRI,37303.14
43,1988,TRI,0.0
53,1988,TRI,73223.04
73,1988,TRI,38439.79
60,1988,TRI,34696.27
29,1989,TRI,104326.11
33,1989,TRI,11582.24
20,1989,TRI,109710.23
25,1989,TRI,108296.54
22,1989,TRI,57315.18
13,1989,TRI,27358.76
38,1989,TRI,16796.56
19,1989,TRI,40551.44
46,1989,TRI,385714.29
6,1989,TRI,51087.24
10,1989,TRI,89077.96
21,1989,TRI,63136.52
11,1989,TRI,12571.82
26,1989,TRI,196832.27
52,1989,TRI,47391.61
24,1989,TRI,58116.07
37,1989,TRI,497.73
5,1989,TRI,12301.54
7,1989,TRI,4094.87
16,1989,TRI,26708.72
35,1989,TRI,150739.44
23,1989,TRI,46539.4
15,1989,TRI,7470.38
8,1989,TRI,8567.8
9,1989,TRI,13455.91
49,1989,TRI,119904.14
27,1989,TRI,46800.23
82,1989,TRI,64224.8
17,1989,TRI,55277.75
1,1989,TRI,104207.97
45,1989,TRI,182933.58
85,1989,TRI,441337.62
96,1989,TRI,73550.45
32,1989,TRI,48959.72
30,1989,TRI,62490.59
28,1989,TRI,102457.55
31,1989,TRI,27895.53
72,1989,TRI,60149.58
86,1989,TRI,414566.78
84,1989,TRI,750295.37
61,1989,TRI,170384.58
36,1989,TRI,3262.09
42,1989,TRI,48527.17
71,1989,TRI,73254.23
51,1989,TRI,48015.89
39,1989,TRI,4558.31
69,1989,TRI,147962.48
18,1989,TRI,37380.65
93,1989,TRI,35741.17
63,1989,TRI,29892.48
95,1989,TRI,23597.01
14,1989,TRI,17672.31
59,1989,TRI,39241.8
47,1989,TRI,379736.71
50,1989,TRI,6719.87
94,1989,TRI,43532.45
2,1989,TRI,7722.6
12,1989,TRI,21358.43
58,1989,TRI,96499.79
68,1989,TRI,553816.6
62,1989,TRI,74469.63
74,1989,TRI,49058.97
41,1989,TRI,290393.52
77,1989,TRI,101457.12
66,1989,TRI,63031.84
70,1989,TRI,168834.8
56,1989,TRI,133321.43
81,1989,TRI,37303.14
43,1989,TRI,0.0
53,1989,TRI,73223.04
73,1989,TRI,38439.79
60,1989,TRI,34696.27
29,1990,TRI,104326.11
33,1990,TRI,11582.24
20,1990,TRI,109710.23
25,1990,TRI,108296.54
22,1990,TRI,57315.18
13,1990,TRI,27358.76
38,1990,TRI,16796.56
19,1990,TRI,40551.44
46,1990,TRI,385714.29
6,1990,TRI,51087.24
10,1990,TRI,89077.96
21,1990,TRI,63136.52
11,1990,TRI,12571.82
26,1990,TRI,196832.27
52,1990,TRI,47391.61
24,1990,TRI,58116.07
37,1990,TRI,497.73
5,1990,TRI,12301.54
7,1990,TRI,4094.87
16,1990,TRI,26708.72
35,1990,TRI,150739.44
23,1990,TRI,46539.4
15,1990,TRI,7470.38
8,1990,TRI,8567.8
9,1990,TRI,13455.91
49,1990,TRI,119904.14
27,1990,TRI,46800.23
82,1990,TRI,64224.8
17,1990,TRI,55277.75
1,1990,TRI,104207.97
45,1990,TRI,182933.58
85,1990,TRI,441337.62
96,1990,TRI,73550.45
32,1990,TRI,48959.72
30,1990,TRI,62490.59
28,1990,TRI,102457.55
31,1990,TRI,27895.53
72,1990,TRI,60149.58
86,1990,TRI,414566.78
84,1990,TRI,750295.37
61,1990,TRI,170384.58
36,1990,TRI,3262.09
42,1990,TRI,48527.17
71,1990,TRI,73254.23
51,1990,TRI,48015.89
39,1990,TRI,4558.31
69,1990,TRI,147962.48
18,1990,TRI,37380.65
93,1990,TRI,35741.17
63,1990,TRI,29892.48
95,1990,TRI,23597.01
14,1990,TRI,17672.31
59,1990,TRI,39241.8
47,1990,TRI,379736.71
50,1990,TRI,6719.87
94,1990,TRI,43532.45
2,1990,TRI,7722.6
12,1990,TRI,21358.43
58,1990,TRI,96499.79
68,1990,TRI,553816.6
62,1990,TRI,74469.63
74,1990,TRI,49058.97
41,1990,TRI,290393.52
77,1990,TRI,101457.12
66,1990,TRI,63031.84
70,1990,TRI,168834.8
56,1990,TRI,133321.43
81,1990,TRI,37303.14
43,1990,TRI,0.0
53,1990,TRI,73223.04
73,1990,TRI,38439.79
60,1990,TRI,34696.27
29,1991,TRI,104326.11
33,1991,TRI,11582.24
20,1991,TRI,109710.23
25,1991,TRI,108296.54
22,1991,TRI,57315.18
13,1991,TRI,27358.76
38,1991,TRI,16796.56
19,1991,TRI,40551.44
46,1991,TRI,385714.29
6,1991,TRI,51087.24
10,1991,TRI,89077.96
21,1991,TRI,63136.52
11,1991,TRI,12571.82
26,1991,TRI,196832.27
52,1991,TRI,47391.61
24,1991,TRI,58116.07
37,1991,TRI,497.73
