data_preparation_id,n_components,explained_variance,classification_type
1,62,0.95,multi-class classification
4,87,0.95,multi-label classification
7,83,0.95,multi-model binary classification
10,84,0.95,multi-model binary classification
13,85,0.95,multi-model binary classification
16,84,0.95,multi-model binary classification
19,88,0.95,multi-model binary classification
22,87,0.95,multi-model binary classification
25,86,0.95,multi-model binary classification
28,88,0.95,multi-model binary classification
31,88,0.95,multi-model binary classification
34,86,0.95,multi-model binary classification
