,0
transfer_amount_kg,object
generic_sector_code,object
epsi,float64
AUTOCORR2D_1,float64
AUTOCORR2D_10,float64
AUTOCORR2D_100,float64
AUTOCORR2D_101,float64
AUTOCORR2D_102,float64
AUTOCORR2D_103,float64
AUTOCORR2D_104,float64
AUTOCORR2D_105,float64
AUTOCORR2D_106,float64
AUTOCORR2D_107,float64
AUTOCORR2D_108,float64
AUTOCORR2D_109,float64
AUTOCORR2D_11,float64
AUTOCORR2D_110,float64
AUTOCORR2D_111,float64
AUTOCORR2D_112,float64
AUTOCORR2D_113,float64
AUTOCORR2D_114,float64
AUTOCORR2D_115,float64
AUTOCORR2D_116,float64
AUTOCORR2D_117,float64
AUTOCORR2D_118,float64
AUTOCORR2D_119,float64
AUTOCORR2D_12,float64
AUTOCORR2D_120,float64
AUTOCORR2D_121,float64
AUTOCORR2D_122,float64
AUTOCORR2D_123,float64
AUTOCORR2D_124,float64
AUTOCORR2D_125,float64
AUTOCORR2D_126,float64
AUTOCORR2D_127,float64
AUTOCORR2D_128,float64
AUTOCORR2D_129,float64
AUTOCORR2D_13,float64
AUTOCORR2D_130,float64
AUTOCORR2D_131,float64
AUTOCORR2D_132,float64
AUTOCORR2D_133,float64
AUTOCORR2D_134,float64
AUTOCORR2D_135,float64
AUTOCORR2D_136,float64
AUTOCORR2D_137,float64
AUTOCORR2D_138,float64
AUTOCORR2D_139,float64
AUTOCORR2D_14,float64
AUTOCORR2D_140,float64
AUTOCORR2D_141,float64
AUTOCORR2D_142,float64
AUTOCORR2D_143,float64
AUTOCORR2D_144,float64
AUTOCORR2D_145,float64
AUTOCORR2D_146,float64
AUTOCORR2D_147,float64
AUTOCORR2D_148,float64
AUTOCORR2D_149,float64
AUTOCORR2D_15,float64
AUTOCORR2D_150,float64
AUTOCORR2D_151,float64
AUTOCORR2D_152,float64
AUTOCORR2D_153,float64
AUTOCORR2D_154,float64
AUTOCORR2D_155,float64
AUTOCORR2D_156,float64
AUTOCORR2D_157,float64
AUTOCORR2D_158,float64
AUTOCORR2D_159,float64
AUTOCORR2D_16,float64
AUTOCORR2D_160,float64
AUTOCORR2D_161,float64
AUTOCORR2D_162,float64
AUTOCORR2D_163,float64
AUTOCORR2D_164,float64
AUTOCORR2D_165,float64
AUTOCORR2D_166,float64
AUTOCORR2D_167,float64
AUTOCORR2D_168,float64
AUTOCORR2D_169,float64
AUTOCORR2D_17,float64
AUTOCORR2D_170,float64
AUTOCORR2D_171,float64
AUTOCORR2D_172,float64
AUTOCORR2D_173,float64
AUTOCORR2D_174,float64
AUTOCORR2D_175,float64
AUTOCORR2D_176,float64
AUTOCORR2D_177,float64
AUTOCORR2D_178,float64
AUTOCORR2D_179,float64
AUTOCORR2D_18,float64
AUTOCORR2D_180,float64
AUTOCORR2D_181,float64
AUTOCORR2D_182,float64
AUTOCORR2D_183,float64
AUTOCORR2D_184,float64
AUTOCORR2D_185,float64
AUTOCORR2D_186,float64
AUTOCORR2D_187,float64
AUTOCORR2D_188,float64
AUTOCORR2D_189,float64
AUTOCORR2D_19,float64
AUTOCORR2D_190,float64
AUTOCORR2D_191,float64
AUTOCORR2D_192,float64
AUTOCORR2D_2,float64
AUTOCORR2D_20,float64
AUTOCORR2D_21,float64
AUTOCORR2D_22,float64
AUTOCORR2D_23,float64
AUTOCORR2D_24,float64
AUTOCORR2D_25,float64
AUTOCORR2D_26,float64
AUTOCORR2D_27,float64
AUTOCORR2D_28,float64
AUTOCORR2D_29,float64
AUTOCORR2D_3,float64
AUTOCORR2D_30,float64
AUTOCORR2D_31,float64
AUTOCORR2D_32,float64
AUTOCORR2D_33,float64
AUTOCORR2D_34,float64
AUTOCORR2D_35,float64
AUTOCORR2D_36,float64
AUTOCORR2D_37,float64
AUTOCORR2D_38,float64
AUTOCORR2D_39,float64
AUTOCORR2D_4,float64
AUTOCORR2D_40,float64
AUTOCORR2D_41,float64
AUTOCORR2D_42,float64
AUTOCORR2D_43,float64
AUTOCORR2D_44,float64
AUTOCORR2D_45,float64
AUTOCORR2D_46,float64
AUTOCORR2D_47,float64
AUTOCORR2D_48,float64
AUTOCORR2D_49,float64
AUTOCORR2D_5,float64
AUTOCORR2D_50,float64
AUTOCORR2D_51,float64
AUTOCORR2D_52,float64
AUTOCORR2D_53,float64
AUTOCORR2D_54,float64
AUTOCORR2D_55,float64
AUTOCORR2D_56,float64
AUTOCORR2D_57,float64
AUTOCORR2D_58,float64
AUTOCORR2D_59,float64
AUTOCORR2D_6,float64
AUTOCORR2D_60,float64
AUTOCORR2D_61,float64
AUTOCORR2D_62,float64
AUTOCORR2D_63,float64
AUTOCORR2D_64,float64
AUTOCORR2D_65,float64
AUTOCORR2D_66,float64
AUTOCORR2D_67,float64
AUTOCORR2D_68,float64
AUTOCORR2D_69,float64
AUTOCORR2D_7,float64
AUTOCORR2D_70,float64
AUTOCORR2D_71,float64
AUTOCORR2D_72,float64
AUTOCORR2D_73,float64
AUTOCORR2D_74,float64
AUTOCORR2D_75,float64
AUTOCORR2D_76,float64
AUTOCORR2D_77,float64
AUTOCORR2D_78,float64
AUTOCORR2D_79,float64
AUTOCORR2D_8,float64
AUTOCORR2D_80,float64
AUTOCORR2D_81,float64
AUTOCORR2D_82,float64
AUTOCORR2D_83,float64
AUTOCORR2D_84,float64
AUTOCORR2D_85,float64
AUTOCORR2D_86,float64
AUTOCORR2D_87,float64
AUTOCORR2D_88,float64
AUTOCORR2D_89,float64
AUTOCORR2D_9,float64
AUTOCORR2D_90,float64
AUTOCORR2D_91,float64
AUTOCORR2D_92,float64
AUTOCORR2D_93,float64
AUTOCORR2D_94,float64
AUTOCORR2D_95,float64
AUTOCORR2D_96,float64
AUTOCORR2D_97,float64
AUTOCORR2D_98,float64
AUTOCORR2D_99,float64
BCUT2D_CHGHI,float64
BCUT2D_CHGLO,float64
BCUT2D_LOGPHI,float64
BCUT2D_LOGPLOW,float64
BCUT2D_MRHI,float64
BCUT2D_MRLOW,float64
BCUT2D_MWHI,float64
BCUT2D_MWLOW,float64
BalabanJ,float64
BertzCT,float64
Chi0,float64
Chi0n,float64
Chi0v,float64
Chi1,float64
Chi1n,float64
Chi1v,float64
Chi2n,float64
Chi2v,float64
Chi3n,float64
Chi3v,float64
Chi4n,float64
Chi4v,float64
EState_VSA1,float64
EState_VSA10,float64
EState_VSA11,float64
EState_VSA2,float64
EState_VSA3,float64
EState_VSA4,float64
EState_VSA5,float64
EState_VSA6,float64
EState_VSA7,float64
EState_VSA8,float64
EState_VSA9,float64
ExactMolWt,float64
FpDensityMorgan1,float64
FpDensityMorgan2,float64
FpDensityMorgan3,float64
FractionCSP3,float64
HallKierAlpha,float64
HeavyAtomCount,float64
HeavyAtomMolWt,float64
Ipc,float64
Kappa1,float64
Kappa2,float64
Kappa3,float64
LabuteASA,float64
MaxAbsEStateIndex,float64
MaxAbsPartialCharge,float64
MaxEStateIndex,float64
MaxPartialCharge,float64
MinAbsEStateIndex,float64
MinAbsPartialCharge,float64
MinEStateIndex,float64
MinPartialCharge,float64
MolLogP,float64
MolMR,float64
MolWt,float64
NHOHCount,float64
NOCount,float64
NumAliphaticCarbocycles,float64
NumAliphaticHeterocycles,float64
NumAliphaticRings,float64
NumAromaticCarbocycles,float64
NumAromaticHeterocycles,float64
NumAromaticRings,float64
NumHAcceptors,float64
NumHDonors,float64
NumHeteroatoms,float64
NumRadicalElectrons,float64
NumRotatableBonds,float64
NumSaturatedCarbocycles,float64
NumSaturatedHeterocycles,float64
NumSaturatedRings,float64
NumValenceElectrons,float64
PEOE_VSA1,float64
PEOE_VSA10,float64
PEOE_VSA11,float64
PEOE_VSA12,float64
PEOE_VSA13,float64
PEOE_VSA14,float64
PEOE_VSA2,float64
PEOE_VSA3,float64
PEOE_VSA4,float64
PEOE_VSA5,float64
PEOE_VSA6,float64
PEOE_VSA7,float64
PEOE_VSA8,float64
PEOE_VSA9,float64
RingCount,float64
SMR_VSA1,float64
SMR_VSA10,float64
SMR_VSA2,float64
SMR_VSA3,float64
SMR_VSA4,float64
SMR_VSA5,float64
SMR_VSA6,float64
SMR_VSA7,float64
SMR_VSA8,float64
SMR_VSA9,float64
SlogP_VSA1,float64
SlogP_VSA10,float64
SlogP_VSA11,float64
SlogP_VSA12,float64
SlogP_VSA2,float64
SlogP_VSA3,float64
SlogP_VSA4,float64
SlogP_VSA5,float64
SlogP_VSA6,float64
SlogP_VSA7,float64
SlogP_VSA8,float64
SlogP_VSA9,float64
TPSA,float64
VSA_EState1,float64
VSA_EState10,float64
VSA_EState2,float64
VSA_EState3,float64
VSA_EState4,float64
VSA_EState5,float64
VSA_EState6,float64
VSA_EState7,float64
VSA_EState8,float64
VSA_EState9,float64
fr_Al_COO,float64
fr_Al_OH,float64
fr_Al_OH_noTert,float64
fr_ArN,float64
fr_Ar_COO,float64
fr_Ar_N,float64
fr_Ar_NH,int64
fr_Ar_OH,float64
fr_COO,float64
fr_COO2,float64
fr_C_O,float64
fr_C_O_noCOO,float64
fr_C_S,float64
fr_HOCCN,int64
fr_Imine,int64
fr_NH0,float64
fr_NH1,float64
fr_NH2,float64
fr_N_O,int64
fr_Ndealkylation1,float64
fr_Ndealkylation2,int64
fr_Nhpyrrole,int64
fr_SH,float64
fr_aldehyde,float64
fr_alkyl_carbamate,int64
fr_alkyl_halide,float64
fr_allylic_oxid,float64
fr_amide,float64
fr_amidine,int64
fr_aniline,float64
fr_aryl_methyl,float64
fr_azide,int64
fr_azo,int64
fr_barbitur,int64
fr_benzene,float64
fr_benzodiazepine,int64
fr_bicyclic,float64
fr_diazo,int64
fr_dihydropyridine,int64
fr_epoxide,int64
fr_ester,float64
fr_ether,float64
fr_furan,float64
fr_guanido,int64
fr_halogen,float64
fr_hdrzine,int64
fr_hdrzone,int64
fr_imidazole,int64
fr_imide,int64
fr_isocyan,int64
fr_isothiocyan,int64
fr_ketone,float64
fr_ketone_Topliss,float64
fr_lactam,int64
fr_lactone,int64
fr_methoxy,float64
fr_morpholine,int64
fr_nitrile,float64
fr_nitro,float64
fr_nitro_arom,float64
fr_nitro_arom_nonortho,float64
fr_nitroso,int64
fr_oxazole,int64
fr_oxime,int64
fr_para_hydroxylation,float64
fr_phenol,float64
fr_phenol_noOrthoHbond,float64
fr_phos_acid,int64
fr_phos_ester,int64
fr_piperdine,float64
fr_piperzine,float64
fr_priamide,int64
fr_prisulfonamd,int64
fr_pyridine,float64
fr_quatN,float64
fr_sulfide,float64
fr_sulfonamd,int64
