,0
0,transfer_amount_kg
1,generic_sector_code
2,epsi
3,AUTOCORR2D_1
4,AUTOCORR2D_10
5,AUTOCORR2D_100
6,AUTOCORR2D_101
7,AUTOCORR2D_102
8,AUTOCORR2D_103
9,AUTOCORR2D_104
10,AUTOCORR2D_105
11,AUTOCORR2D_106
12,AUTOCORR2D_107
13,AUTOCORR2D_108
14,AUTOCORR2D_109
15,AUTOCORR2D_11
16,AUTOCORR2D_110
17,AUTOCORR2D_111
18,AUTOCORR2D_112
19,AUTOCORR2D_113
20,AUTOCORR2D_114
21,AUTOCORR2D_115
22,AUTOCORR2D_116
23,AUTOCORR2D_117
24,AUTOCORR2D_118
25,AUTOCORR2D_119
26,AUTOCORR2D_12
27,AUTOCORR2D_120
28,AUTOCORR2D_121
29,AUTOCORR2D_122
30,AUTOCORR2D_123
31,AUTOCORR2D_124
32,AUTOCORR2D_125
33,AUTOCORR2D_126
34,AUTOCORR2D_127
35,AUTOCORR2D_128
36,AUTOCORR2D_129
37,AUTOCORR2D_13
38,AUTOCORR2D_130
39,AUTOCORR2D_131
40,AUTOCORR2D_132
41,AUTOCORR2D_133
42,AUTOCORR2D_134
43,AUTOCORR2D_135
44,AUTOCORR2D_136
45,AUTOCORR2D_137
46,AUTOCORR2D_138
47,AUTOCORR2D_139
48,AUTOCORR2D_14
49,AUTOCORR2D_140
50,AUTOCORR2D_141
51,AUTOCORR2D_142
52,AUTOCORR2D_143
53,AUTOCORR2D_144
54,AUTOCORR2D_145
55,AUTOCORR2D_146
56,AUTOCORR2D_147
57,AUTOCORR2D_148
58,AUTOCORR2D_149
59,AUTOCORR2D_15
60,AUTOCORR2D_150
61,AUTOCORR2D_151
62,AUTOCORR2D_152
63,AUTOCORR2D_153
64,AUTOCORR2D_154
65,AUTOCORR2D_155
66,AUTOCORR2D_156
67,AUTOCORR2D_157
68,AUTOCORR2D_158
69,AUTOCORR2D_159
70,AUTOCORR2D_16
71,AUTOCORR2D_160
72,AUTOCORR2D_161
73,AUTOCORR2D_162
74,AUTOCORR2D_163
75,AUTOCORR2D_164
76,AUTOCORR2D_165
77,AUTOCORR2D_166
78,AUTOCORR2D_167
79,AUTOCORR2D_168
80,AUTOCORR2D_169
81,AUTOCORR2D_17
82,AUTOCORR2D_170
83,AUTOCORR2D_171
84,AUTOCORR2D_172
85,AUTOCORR2D_173
86,AUTOCORR2D_174
87,AUTOCORR2D_175
88,AUTOCORR2D_176
89,AUTOCORR2D_177
90,AUTOCORR2D_178
91,AUTOCORR2D_179
92,AUTOCORR2D_18
93,AUTOCORR2D_180
94,AUTOCORR2D_181
95,AUTOCORR2D_182
96,AUTOCORR2D_183
97,AUTOCORR2D_184
98,AUTOCORR2D_185
99,AUTOCORR2D_186
100,AUTOCORR2D_187
101,AUTOCORR2D_188
102,AUTOCORR2D_189
103,AUTOCORR2D_19
104,AUTOCORR2D_190
105,AUTOCORR2D_191
106,AUTOCORR2D_192
107,AUTOCORR2D_2
108,AUTOCORR2D_20
109,AUTOCORR2D_21
110,AUTOCORR2D_22
111,AUTOCORR2D_23
112,AUTOCORR2D_24
113,AUTOCORR2D_25
114,AUTOCORR2D_26
115,AUTOCORR2D_27
116,AUTOCORR2D_28
117,AUTOCORR2D_29
118,AUTOCORR2D_3
119,AUTOCORR2D_30
120,AUTOCORR2D_31
121,AUTOCORR2D_32
122,AUTOCORR2D_33
123,AUTOCORR2D_34
124,AUTOCORR2D_35
125,AUTOCORR2D_36
126,AUTOCORR2D_37
127,AUTOCORR2D_38
128,AUTOCORR2D_39
129,AUTOCORR2D_4
130,AUTOCORR2D_40
131,AUTOCORR2D_41
132,AUTOCORR2D_42
133,AUTOCORR2D_43
134,AUTOCORR2D_44
135,AUTOCORR2D_45
136,AUTOCORR2D_46
137,AUTOCORR2D_47
138,AUTOCORR2D_48
139,AUTOCORR2D_49
140,AUTOCORR2D_5
141,AUTOCORR2D_50
142,AUTOCORR2D_51
143,AUTOCORR2D_52
144,AUTOCORR2D_53
145,AUTOCORR2D_54
146,AUTOCORR2D_55
147,AUTOCORR2D_56
148,AUTOCORR2D_57
149,AUTOCORR2D_58
150,AUTOCORR2D_59
151,AUTOCORR2D_6
152,AUTOCORR2D_60
153,AUTOCORR2D_61
154,AUTOCORR2D_62
155,AUTOCORR2D_63
156,AUTOCORR2D_64
157,AUTOCORR2D_65
158,AUTOCORR2D_66
159,AUTOCORR2D_67
160,AUTOCORR2D_68
161,AUTOCORR2D_69
162,AUTOCORR2D_7
163,AUTOCORR2D_70
164,AUTOCORR2D_71
165,AUTOCORR2D_72
166,AUTOCORR2D_73
167,AUTOCORR2D_74
168,AUTOCORR2D_75
169,AUTOCORR2D_76
170,AUTOCORR2D_77
171,AUTOCORR2D_78
172,AUTOCORR2D_79
173,AUTOCORR2D_8
174,AUTOCORR2D_80
175,AUTOCORR2D_81
176,AUTOCORR2D_82
177,AUTOCORR2D_83
178,AUTOCORR2D_84
179,AUTOCORR2D_85
180,AUTOCORR2D_86
181,AUTOCORR2D_87
182,AUTOCORR2D_88
183,AUTOCORR2D_89
184,AUTOCORR2D_9
185,AUTOCORR2D_90
186,AUTOCORR2D_91
187,AUTOCORR2D_92
188,AUTOCORR2D_93
189,AUTOCORR2D_94
190,AUTOCORR2D_95
191,AUTOCORR2D_96
192,AUTOCORR2D_97
193,AUTOCORR2D_98
194,AUTOCORR2D_99
195,BCUT2D_CHGHI
196,BCUT2D_CHGLO
197,BCUT2D_LOGPHI
198,BCUT2D_LOGPLOW
199,BCUT2D_MRHI
200,BCUT2D_MRLOW
201,BCUT2D_MWHI
202,BCUT2D_MWLOW
203,BalabanJ
204,BertzCT
205,Chi0
206,Chi0n
207,Chi0v
208,Chi1
209,Chi1n
210,Chi1v
211,Chi2n
212,Chi2v
213,Chi3n
214,Chi3v
215,Chi4n
216,Chi4v
217,EState_VSA1
218,EState_VSA10
219,EState_VSA11
220,EState_VSA2
221,EState_VSA3
222,EState_VSA4
223,EState_VSA5
224,EState_VSA6
225,EState_VSA7
226,EState_VSA8
227,EState_VSA9
228,ExactMolWt
229,FpDensityMorgan1
230,FpDensityMorgan2
231,FpDensityMorgan3
232,FractionCSP3
233,HallKierAlpha
234,HeavyAtomCount
235,HeavyAtomMolWt
236,Ipc
237,Kappa1
238,Kappa2
239,Kappa3
240,LabuteASA
241,MaxAbsEStateIndex
242,MaxAbsPartialCharge
243,MaxEStateIndex
244,MaxPartialCharge
245,MinAbsEStateIndex
246,MinAbsPartialCharge
247,MinEStateIndex
248,MinPartialCharge
249,MolLogP
250,MolMR
251,MolWt
252,NHOHCount
253,NOCount
254,NumAliphaticCarbocycles
255,NumAliphaticHeterocycles
256,NumAliphaticRings
257,NumAromaticCarbocycles
258,NumAromaticHeterocycles
259,NumAromaticRings
260,NumHAcceptors
261,NumHDonors
262,NumHeteroatoms
263,NumRadicalElectrons
264,NumRotatableBonds
265,NumSaturatedCarbocycles
266,NumSaturatedHeterocycles
267,NumSaturatedRings
268,NumValenceElectrons
269,PEOE_VSA1
270,PEOE_VSA10
271,PEOE_VSA11
272,PEOE_VSA12
273,PEOE_VSA13
274,PEOE_VSA14
275,PEOE_VSA2
276,PEOE_VSA3
277,PEOE_VSA4
278,PEOE_VSA5
279,PEOE_VSA6
280,PEOE_VSA7
281,PEOE_VSA8
282,PEOE_VSA9
283,RingCount
284,SMR_VSA1
285,SMR_VSA10
286,SMR_VSA2
287,SMR_VSA3
288,SMR_VSA4
289,SMR_VSA5
290,SMR_VSA6
291,SMR_VSA7
292,SMR_VSA8
293,SMR_VSA9
294,SlogP_VSA1
295,SlogP_VSA10
296,SlogP_VSA11
297,SlogP_VSA12
298,SlogP_VSA2
299,SlogP_VSA3
300,SlogP_VSA4
301,SlogP_VSA5
302,SlogP_VSA6
303,SlogP_VSA7
304,SlogP_VSA8
305,SlogP_VSA9
306,TPSA
307,VSA_EState1
308,VSA_EState10
309,VSA_EState2
310,VSA_EState3
311,VSA_EState4
312,VSA_EState5
313,VSA_EState6
314,VSA_EState7
315,VSA_EState8
316,VSA_EState9
317,fr_Al_COO
318,fr_Al_OH
319,fr_Al_OH_noTert
320,fr_ArN
321,fr_Ar_COO
322,fr_Ar_N
323,fr_Ar_NH
324,fr_Ar_OH
325,fr_COO
326,fr_COO2
327,fr_C_O
328,fr_C_O_noCOO
329,fr_C_S
330,fr_HOCCN
331,fr_Imine
332,fr_NH0
333,fr_NH1
334,fr_NH2
335,fr_N_O
336,fr_Ndealkylation1
337,fr_Ndealkylation2
338,fr_Nhpyrrole
339,fr_SH
340,fr_aldehyde
341,fr_alkyl_carbamate
342,fr_alkyl_halide
343,fr_allylic_oxid
344,fr_amide
345,fr_amidine
346,fr_aniline
347,fr_aryl_methyl
348,fr_azide
349,fr_azo
350,fr_barbitur
351,fr_benzene
352,fr_benzodiazepine
353,fr_bicyclic
354,fr_diazo
355,fr_dihydropyridine
356,fr_epoxide
357,fr_ester
358,fr_ether
359,fr_furan
360,fr_guanido
361,fr_halogen
362,fr_hdrzine
363,fr_hdrzone
364,fr_imidazole
365,fr_imide
366,fr_isocyan
367,fr_isothiocyan
368,fr_ketone
369,fr_ketone_Topliss
370,fr_lactam
371,fr_lactone
372,fr_methoxy
373,fr_morpholine
374,fr_nitrile
375,fr_nitro
376,fr_nitro_arom
377,fr_nitro_arom_nonortho
378,fr_nitroso
379,fr_oxazole
380,fr_oxime
381,fr_para_hydroxylation
382,fr_phenol
383,fr_phenol_noOrthoHbond
384,fr_phos_acid
385,fr_phos_ester
386,fr_piperdine
387,fr_piperzine
388,fr_priamide
389,fr_prisulfonamd
390,fr_pyridine
391,fr_quatN
392,fr_sulfide
393,fr_sulfonamd
394,fr_sulfone
395,fr_term_acetylene
396,fr_tetrazole
397,fr_thiazole
398,fr_thiocyan
399,fr_thiophene
400,fr_unbrch_alkane
401,fr_urea
402,qed
