feature,min,max
AUTOCORR2D_101,0.46,4.07
AUTOCORR2D_49,0.0,4.41
NumAliphaticHeterocycles,0.0,4.45
fr_Al_OH_noTert,-1.0,1.5
AUTOCORR2D_44,-1.34,3.0
AUTOCORR2D_27,-1.43,2.5
BalabanJ,-1.28,1.04
VSA_EState4,-1.13,4.25
AUTOCORR2D_158,-1.18,1.0
fr_isothiocyan,-1.0,1.0
fr_diazo,-1.63,1.08
AUTOCORR2D_128,-1.01,1.5
MaxAbsPartialCharge,-2.47,3.0
AUTOCORR2D_45,0.0,4.58
fr_C_S,-1.67,2.5
AUTOCORR2D_80,-1.18,1.04
NumHDonors,-2.23,2.79
AUTOCORR2D_141,-1.0,1.0
AUTOCORR2D_26,-1.0,1.0
SMR_VSA5,-1.31,1.08
AUTOCORR2D_185,-1.0,1.71
AUTOCORR2D_34,-1.31,3.0
AUTOCORR2D_18,-1.15,2.5
AUTOCORR2D_118,-1.28,1.04
FpDensityMorgan2,0.0,4.49
NumAliphaticRings,-0.98,4.3
fr_pyridine,-1.17,1.0
fr_NH1,-1.0,1.0
fr_HOCCN,-1.72,1.08
fr_ketone_Topliss,-1.01,1.5
AUTOCORR2D_43,-2.68,3.0
NHOHCount,-1.87,2.5
fr_sulfonamd,-1.3,1.04
AUTOCORR2D_15,-2.61,3.44
fr_ester,-1.15,1.0
fr_morpholine,0.0,4.4
AUTOCORR2D_132,-1.0,1.0
AUTOCORR2D_154,-1.47,1.18
fr_priamide,-1.06,1.5
AUTOCORR2D_164,-1.0,3.0
SMR_VSA10,-1.0,2.5
AUTOCORR2D_104,-1.0,1.04
AUTOCORR2D_21,-1.06,1.86
Chi0n,-1.04,1.0
EState_VSA9,-1.5,1.0
AUTOCORR2D_123,-1.8,1.0
EState_VSA8,0.0,4.38
AUTOCORR2D_77,-2.5,2.26
NumRadicalElectrons,-2.03,1.52
qed,-2.19,1.96
AUTOCORR2D_149,-1.36,1.41
SlogP_VSA10,-0.93,4.07
EState_VSA4,0.0,3.41
AUTOCORR2D_37,0.0,1.75
fr_nitro_arom_nonortho,0.0,3.2
AUTOCORR2D_88,0.0,3.5
AUTOCORR2D_78,0.0,4.5
AUTOCORR2D_129,0.0,4.27
fr_SH,0.0,5.5
fr_imide,0.0,3.62
fr_COO,0.0,4.84
AUTOCORR2D_191,0.0,2.76
AUTOCORR2D_58,0.0,1.87
AUTOCORR2D_105,0.0,2.65
EState_VSA11,0.0,3.5
SMR_VSA6,0.0,6.0
AUTOCORR2D_174,0.0,5.5
fr_tetrazole,0.0,3.56
PEOE_VSA3,0.0,4.06
fr_aniline,0.0,4.96
fr_oxazole,0.0,2.5
AUTOCORR2D_161,0.0,1.75
AUTOCORR2D_85,0.0,2.51
BCUT2D_MRHI,0.0,3.5
AUTOCORR2D_24,0.0,4.5
fr_ArN,0.0,5.5
AUTOCORR2D_48,0.0,3.34
fr_allylic_oxid,0.0,3.63
BCUT2D_CHGHI,0.0,2.5
AUTOCORR2D_176,0.0,4.23
AUTOCORR2D_83,0.0,1.75
AUTOCORR2D_28,0.0,2.92
AUTOCORR2D_81,0.0,3.5
fr_NH2,0.0,5.94
fr_NH0,0.0,5.5
EState_VSA3,0.0,3.57
AUTOCORR2D_41,0.0,5.07
FractionCSP3,0.0,2.5
AUTOCORR2D_102,0.0,1.88
fr_phenol_noOrthoHbond,0.0,2.5
PEOE_VSA5,0.0,4.7
AUTOCORR2D_106,0.0,3.5
AUTOCORR2D_155,0.0,4.5
