mean_validation_accuracy,mean_train_accuracy,accuracy_analysis,mean_validation_f1,mean_train_f1,mean_validation_0_1_loss_or_error,std_validation_0_1_loss_or_error,y_randomization_mean_0_1_loss_or_error,y_randomization_std_0_1_loss_or_error,id,time_sec,n_samples,n_bytes
0.98,1.0,over-fitting (high variance),0.98,1.0,0.02,0.000652,0.5,0.001802,7,2055.8026876449585,291064,193266496
0.99,1.0,over-fitting (high variance),0.99,1.0,0.01,0.000599,0.5,0.002136,8,259.86061429977417,291064,183952448
0.99,1.0,over-fitting (high variance),0.99,1.0,0.01,0.0003,0.5,0.002188,9,287.347998380661,291064,200252032
0.77,0.95,over-fitting (high variance),0.77,0.95,0.23,0.001913,0.5,0.002655,10,1734.0884816646576,271418,182392896
0.81,0.95,over-fitting (high variance),0.81,0.95,0.19,0.00111,0.5,0.001784,11,228.39135932922363,271418,173707520
0.8,0.95,over-fitting (high variance),0.8,0.95,0.2,0.002149,0.5,0.001727,12,247.54366612434387,271418,188906928
0.82,0.96,over-fitting (high variance),0.82,0.96,0.18,0.000937,0.5,0.002116,13,1810.0226707458496,275128,187087040
0.85,0.96,over-fitting (high variance),0.85,0.96,0.15,0.000668,0.5,0.001821,14,234.83645367622375,275128,176081920
0.85,0.96,over-fitting (high variance),0.85,0.96,0.15,0.001485,0.5,0.002162,15,236.75066566467285,275128,184886016
0.66,0.92,over-fitting (high variance),0.66,0.92,0.34,0.002693,0.5,0.00156,16,1661.3536105155945,260310,174928320
0.7,0.92,over-fitting (high variance),0.7,0.92,0.3,0.001348,0.5,0.001158,17,213.95166611671448,260310,164515920
0.7,0.92,over-fitting (high variance),0.7,0.92,0.3,0.001361,0.5,0.00236,18,223.6024534702301,260310,174928320
0.78,0.95,over-fitting (high variance),0.78,0.95,0.22,0.001496,0.5,0.001561,19,1796.2547523975372,280484,197460736
0.82,0.95,over-fitting (high variance),0.82,0.95,0.18,0.001396,0.5,0.001761,20,253.7173855304718,280484,177265888
0.82,0.95,over-fitting (high variance),0.82,0.95,0.18,0.001285,0.5,0.002052,21,250.31449103355408,280484,188485248
0.71,0.94,over-fitting (high variance),0.71,0.94,0.29,0.000753,0.5,0.002712,22,1722.7574422359467,272138,189408048
0.77,0.94,over-fitting (high variance),0.77,0.94,0.23,0.000857,0.5,0.002237,23,242.15685200691223,272138,171991216
0.76,0.94,over-fitting (high variance),0.76,0.94,0.24,0.00158,0.5,0.001938,24,241.21731686592102,272138,185053840
0.7,0.93,over-fitting (high variance),0.7,0.93,0.3,0.001944,0.5,0.001892,25,1749.641217470169,259098,178259424
0.74,0.93,over-fitting (high variance),0.74,0.93,0.26,0.00126,0.5,0.001669,26,273.6439549922943,259098,163749936
0.73,0.93,over-fitting (high variance),0.73,0.93,0.27,0.000815,0.5,0.001678,27,241.47678303718567,259098,174113856
0.95,0.99,over-fitting (high variance),0.95,0.99,0.05,0.000434,0.5,0.002295,28,2052.514439344406,290032,204182528
0.96,0.99,over-fitting (high variance),0.96,0.99,0.04,0.000375,0.5,0.001205,29,377.9949469566345,290032,183300224
0.96,0.99,over-fitting (high variance),0.96,0.99,0.04,0.000682,0.5,0.002215,30,373.17523980140686,290032,201862272
0.95,0.99,over-fitting (high variance),0.95,0.99,0.05,0.000622,0.5,0.001504,31,2214.928990125656,289534,203831936
0.97,0.99,over-fitting (high variance),0.97,0.99,0.03,0.000434,0.5,0.002448,32,349.1851165294647,289534,182985488
0.96,0.99,over-fitting (high variance),0.96,0.99,0.04,0.000551,0.5,0.003026,33,383.3515667915344,289534,201515664
0.74,0.94,over-fitting (high variance),0.74,0.94,0.26,0.001556,0.5,0.001673,34,1713.5877974033356,257722,177312736
0.77,0.94,over-fitting (high variance),0.77,0.94,0.23,0.002125,0.5,0.00199,35,255.9439821243286,257722,162880304
0.77,0.94,over-fitting (high variance),0.77,0.94,0.23,0.000993,0.5,0.002132,36,289.8946430683136,257722,175250960
