mean_validation_accuracy,mean_train_accuracy,accuracy_analysis,mean_validation_f1,mean_train_f1,mean_validation_0_1_loss_or_error,std_validation_0_1_loss_or_error,y_randomization_mean_0_1_loss_or_error,y_randomization_std_0_1_loss_or_error,id,time_sec,n_samples,n_bytes
0.64,0.88,over-fitting (high variance),0.64,0.88,0.36,0.013879,0.49,0.025811,7,12.394503355026245,3584,5533696
0.67,0.9,over-fitting (high variance),0.67,0.9,0.33,0.011288,0.5,0.014307,8,4.55804967880249,3574,2258768
0.6,0.88,over-fitting (high variance),0.6,0.88,0.4,0.016066,0.5,0.009945,9,4.682940483093262,3574,2458912
0.45,0.83,over-fitting (high variance),0.45,0.83,0.55,0.00349,0.5,0.00276,10,268.89460134506226,63434,42627648
0.44,0.83,over-fitting (high variance),0.44,0.83,0.56,0.002876,0.5,0.003845,11,32.50332593917847,63434,40597760
0.42,0.82,over-fitting (high variance),0.42,0.82,0.58,0.004373,0.5,0.003208,12,35.84088587760925,63434,44150064
0.43,0.83,over-fitting (high variance),0.43,0.83,0.57,0.003761,0.5,0.003958,13,218.8357229232788,52870,35951600
0.42,0.82,over-fitting (high variance),0.42,0.82,0.58,0.007102,0.5,0.004892,14,26.002890825271606,52870,33836800
0.41,0.82,over-fitting (high variance),0.41,0.82,0.59,0.002684,0.5,0.004667,15,27.042612075805664,52870,35528640
0.39,0.81,over-fitting (high variance),0.39,0.81,0.61,0.001222,0.5,0.004967,16,503.58074831962585,97210,65325120
0.41,0.81,over-fitting (high variance),0.41,0.81,0.59,0.003567,0.5,0.002684,17,53.50745105743408,97210,61436720
0.38,0.8,over-fitting (high variance),0.38,0.8,0.62,0.003053,0.5,0.003478,18,56.587846755981445,97210,65325120
0.42,0.81,over-fitting (high variance),0.42,0.81,0.58,0.004169,0.5,0.004843,19,228.6433334350586,53054,37350016
0.46,0.82,over-fitting (high variance),0.46,0.82,0.54,0.003222,0.5,0.0058,20,26.200210571289062,53054,33530128
0.42,0.81,over-fitting (high variance),0.42,0.81,0.58,0.003238,0.5,0.004818,21,27.383886337280273,53054,35652288
0.42,0.81,over-fitting (high variance),0.42,0.81,0.58,0.003421,0.5,0.003743,22,341.81105184555054,72528,50479488
0.45,0.82,over-fitting (high variance),0.45,0.82,0.55,0.005519,0.5,0.003816,23,37.67788815498352,72528,45837696
0.43,0.81,over-fitting (high variance),0.43,0.81,0.57,0.00234,0.5,0.005217,24,39.913830518722534,72528,49319040
0.42,0.82,over-fitting (high variance),0.42,0.82,0.58,0.0029,0.5,0.003935,25,418.02456426620483,91086,62667168
0.44,0.82,over-fitting (high variance),0.44,0.82,0.56,0.003133,0.5,0.003232,26,50.20314359664917,91086,57566352
0.41,0.81,over-fitting (high variance),0.41,0.81,0.59,0.00217,0.5,0.005306,27,52.92851543426514,91086,61209792
0.62,0.88,over-fitting (high variance),0.62,0.88,0.38,0.00843,0.5,0.009968,28,28.638041734695435,10364,7296256
0.63,0.89,over-fitting (high variance),0.63,0.89,0.37,0.009763,0.5,0.00725,29,6.292043447494507,10364,6550048
0.59,0.88,over-fitting (high variance),0.59,0.88,0.41,0.007214,0.5,0.008901,30,6.649661540985107,10364,7213344
0.57,0.87,over-fitting (high variance),0.57,0.87,0.43,0.009381,0.5,0.006242,31,27.617889642715454,9778,6883712
0.64,0.89,over-fitting (high variance),0.64,0.89,0.36,0.009531,0.5,0.013145,32,6.031696081161499,9778,6179696
0.55,0.86,over-fitting (high variance),0.54,0.86,0.45,0.004071,0.51,0.010838,33,6.376956462860107,9778,6805488
0.42,0.82,over-fitting (high variance),0.42,0.82,0.58,0.001966,0.5,0.002846,34,376.38928842544556,83776,57637888
0.42,0.81,over-fitting (high variance),0.42,0.81,0.58,0.003226,0.5,0.002909,35,45.93371772766113,83776,52946432
0.42,0.81,over-fitting (high variance),0.42,0.81,0.58,0.000945,0.5,0.005591,36,48.11786198616028,83776,56967680
