mean_validation_accuracy,mean_train_accuracy,accuracy_analysis,mean_validation_f1,mean_train_f1,mean_validation_0_1_loss_or_error,std_validation_0_1_loss_or_error
0.99,1.0,over-fitting (high variance),0.99,1.0,0.01,0.000466
0.83,0.87,over-fitting (high variance),0.83,0.87,0.17,0.001297
0.87,0.89,over-fitting (high variance),0.87,0.89,0.13,0.00165
0.75,0.8,over-fitting (high variance),0.75,0.8,0.25,0.001123
0.85,0.93,over-fitting (high variance),0.85,0.93,0.15,0.000846
0.8,0.83,over-fitting (high variance),0.8,0.83,0.2,0.001402
0.79,0.84,over-fitting (high variance),0.79,0.84,0.21,0.002098
0.96,0.99,over-fitting (high variance),0.96,0.99,0.04,0.000609
0.97,0.99,over-fitting (high variance),0.97,0.99,0.03,0.000645
0.8,0.82,over-fitting (high variance),0.8,0.82,0.2,0.00211
