generic_substance_id,chemical_in_category_cas,smiles
NA-01,1309-64-4,[O-2].[O-2].[O-2].[Sb+3].[Sb+3]
NA-01,1345-04-6,S.[Sb]
NA-01,1314-60-9,O=[Sb](=O)O[Sb](=O)=O
NA-01,10025-91-9,Cl[Sb](Cl)Cl
NA-01,7789-61-9,Br[Sb](Br)Br
NA-01,28300-74-5,C(C(C(=O)[O-])[O-])(C(=O)[O-])[O-].C(C(C(=O)[O-])[O-])(C(=O)[O-])[O-].[K+].[K+].[Sb+3].[Sb+3]
NA-01,7783-70-2,F[Sb](F)(F)(F)F
NA-01,6923-52-0,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Sb+3]
NA-01,5965-33-3,C(=O)(C(=O)O[Sb](OC(=O)C(=O)[O-])OC(=O)C(=O)[O-])[O-].[K+].[K+].[K+]
NA-02,98-50-0,C1=CC(=CC=C1N)[As](=O)(O)O
NA-02,1303-28-2,O=[As](=O)O[As](=O)=O
NA-02,1303-33-9,S=[As]S[As]=S
NA-02,7784-34-1,Cl[As](Cl)Cl
NA-02,1327-53-3,[O-2].[O-2].[O-2].[As+3].[As+3]
NA-02,7784-42-1,[AsH3]
NA-02,75-60-5,C[As](=O)(C)O
NA-02,7784-40-9,O[As](=O)([O-])[O-].[Pb+2]
NA-02,144-21-8,C[As](=O)([O-])[O-].[Na+].[Na+]
NA-02,2163-80-6,C[As](=O)([O-])[O-].[Na+].[Na+]
NA-02,7784-41-0,O[As](=O)(O)[O-].[K+]
NA-02,13464-35-2,[O-][As]([O-])[O-].[K+].[K+].[K+]
NA-02,7631-89-2,O[As](=O)([O-])[O-].[Na+].[Na+]
NA-02,7784-46-5,O[As]=O
NA-02,124-65-2,C[As](=O)(C)[O-].[Na+]
NA-03,543-80-6,CC(=O)O
NA-03,513-77-9,C(=O)([O-])[O-].[Ba+2]
NA-03,10361-37-2,[Cl-].[Cl-].[Ba+2]
NA-03,17194-00-2,[OH-].[OH-].[Ba+2]
NA-03,1304-28-5,O=[Ba]
NA-04,543-81-7,[Be+2].CC(=O)[O-].CC(=O)[O-]
NA-04,13106-47-3,[Be+2].C(=O)([O-])[O-]
NA-04,66104-24-3,[Be+2].[Be+2].[Be+2].C(=O)([O-])[O-].C(=O)([O-])[O-].[OH-].[OH-]
NA-04,7787-47-5,[Be+2].[Cl-].[Cl-]
NA-04,13598-15-7,[Be+2].OP(=O)([O-])[O-]
NA-04,13327-32-7,[Be+2].[OH-].[OH-]
NA-04,13597-99-4,[Be+2].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-]
NA-04,19049-40-2,[Be+2].CC(=O)[O-].CC(=O)[O-]
NA-04,63990-88-5,[Be+2].[O-]F.[O-]F
NA-04,13510-49-1,[Be+2].[O-]S(=O)(=O)[O-]
NA-04,13597-95-0,[Be+2].[O-]Cl(=O)(=O)=O.[O-]Cl(=O)(=O)=O
NA-04,7787-56-6,[Be+2].[O-]S(=O)(=O)[O-]
NA-04,542-63-2,[Be+2].C[CH2-].C[CH2-]
NA-04,15721-33-2,[Be+2].C[CH-]C.C[CH-]C
NA-04,506-63-8,[Be+2].[CH3-].[CH3-]
NA-04,64059-26-3,[Be+2].CC(C(=O)[O-])O.CC(C(=O)[O-])O
NA-04,63915-76-4,[Be+2].C(C(C(=O)[O-])[O-])C(=O)[O-].[Na+]
NA-05,1303-96-4,B([O-])([O-])[O-].[Na+]
NA-05,10043-35-3,B(O)(O)O
NA-05,1303-86-2,B(=O)OB=O
NA-05,12069-32-8,B12B3C14B2B43
NA-05,10043-11-5,B#N
NA-05,10294-33-4,B(Br)(Br)Br
NA-05,10294-34-5,B(Cl)(Cl)Cl
NA-05,7637-07-2,B(F)(F)F
NA-06,513-78-0,C(=O)([O-])[O-].[Cd+2]
NA-06,10108-64-2,[Cl-].[Cl-].[Cd+2]
NA-06,1306-19-0,O=[Cd]
NA-06,10124-36-4,[O-]S(=O)(=O)[O-].[Cd+2]
NA-06,1306-23-6,S=[Cd]
NA-07,109-39-7,CCCCCCCCC=CCCCCCCCC(=O)OCCOCCCC
NA-07,110-71-4,COCCOC
NA-07,111-15-9,CCOCCOC(=O)C
NA-07,111-76-2,CCCCOCCO
