generic_substance_id,cas_number,smiles
78933,78-93-3,CCC(=O)C
64175,64-17-5,CCO
71432,71-43-2,C1=CC=CC=C1
110827,110-82-7,C1CCCCC1
108883,108-88-3,CC1=CC=CC=C1
7664939,7664-93-9,OS(=O)(=O)O
7664417,7664-41-7,N
107211,107-21-1,C(CO)O
108952,108-95-2,C1=CC=C(C=C1)O
67561,67-56-1,CO
110543,110-54-3,C(C(=O)O)S
100414,100-41-4,C1=CC=C(C=C1)C(C#N)C2=CC=CC=C2
7647010,7647-01-0,[Cl-]
7446095,7446-09-5,O=S=O
108101,108-10-1,C(C(=O)O)(C(=O)O)O
7782505,7782-50-5,Cl
98828,98-82-8,CC(C)C1=CC=CC=C1
7664382,7664-38-2,OP(=O)(O)O
7697372,7697-37-2,[N+](=O)([O-])[O-]
117817,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC
79107,79-10-7,C=CC(=O)O
75014,75-01-4,C=CCl
107062,107-06-2,C(CCl)Cl
50000,50-00-0,C=O
75092,75-09-2,C(Cl)Cl
75150,75-15-0,C(=S)=S
100425,100-42-5,C(C(C(C(C(=O)CO)O)O)O)O
67641,67-64-1,CC(=O)C
67663,67-66-3,C(Cl)(Cl)Cl
141786,141-78-6,CCOC(=O)C
79016,79-01-6,C(=C(Cl)Cl)Cl
584849,584-84-9,CC1=C(C=CC=C1N=C=O)N=C=O
111308,111-30-8,C(CC=O)CC=O
101688,101-68-8,C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O
106990,106-99-0,C1=CC(=CC=C1CSC2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)O)O)[N+](=O)[O-]
64197,64-19-7,CC(=O)[O-]
7783064,7783-06-4,S
75218,75-21-8,C1CO1
80626,80-62-6,CC(=C)C(=O)OC
106934,106-93-4,C(Br)Br
118741,118-74-1,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl
79345,79-34-5,C(C(Cl)Cl)(Cl)Cl
107131,107-13-1,C=CC(=O)N
79061,79-06-1,C=CC(=O)N
84742,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
630080,630-08-0,[C-]#[O+]
75058,75-05-8,CC#N
127184,127-18-4,C(=C(Cl)Cl)(Cl)Cl
1309484,1309-48-4,O=[Mg]
