feature,min,max
fr_ketone_Topliss,0.46000000834465,4.07000017166138
MaxPartialCharge,0,1760740.625
AUTOCORR2D_150,0.020879998803139,148500
fr_lactam,0,4.78999996185303
AUTOCORR2D_181,0,4.6399998664856
SMR_VSA4,-1.60000002384186,1.5
fr_tetrazole,-1.5,3
AUTOCORR2D_75,-1.42999994754791,3.44000005722046
AUTOCORR2D_77,-1.27999997138977,1.49000000953674
NumAliphaticRings,-1.26999998092651,4.25
AUTOCORR2D_158,-1.17999994754791,1
NumValenceElectrons,-1.47000002861023,1
fr_azo,-1.62999999523163,1.08000004291534
FractionCSP3,-2.05999994277954,1.5
SlogP_VSA12,-2.60999989509583,3
fr_nitroso,0,4.76000022888184
SlogP_VSA9,-1.72000002861023,2.5699999332428
fr_COO2,-1.17999994754791,1.27999997138977
SlogP_VSA3,-2.23000001907349,2.78999996185303
MolWt,-1.11000001430511,1
fr_isothiocyan,-1,1
AUTOCORR2D_94,-1.36000001430511,1.08000004291534
PEOE_VSA2,-1.60000002384186,1.71000003814697
AUTOCORR2D_79,-1.5,3
NumHeteroatoms,-1.29999995231628,2.5
AUTOCORR2D_13,-1.44000005722046,1.25999999046326
AUTOCORR2D_10,0,4.69999980926514
SMR_VSA3,-1.25999999046326,4.30000019073486
Kappa1,-1.16999995708466,1
PEOE_VSA4,-1.5,1
fr_NH2,-1.72000002861023,1.08000004291534
fr_sulfide,-2.38000011444092,1.5
AUTOCORR2D_105,-2.90000009536743,3
AUTOCORR2D_156,-2.03999996185303,2.5
AUTOCORR2D_21,-1.29999995231628,1.33000004291534
TPSA,-2.60999989509583,3.44000005722046
AUTOCORR2D_153,-1.14999997615814,1
fr_NH1,0,4.69999980926514
AUTOCORR2D_64,-1.37999999523163,1
AUTOCORR2D_154,-1.47000002861023,1.17999994754791
AUTOCORR2D_130,-1.05999994277954,1.5
PEOE_VSA14,-1.19000005722046,3
EState_VSA8,-1.24000000953674,4
AUTOCORR2D_175,-1.02999997138977,1.29999995231628
AUTOCORR2D_98,-1.29999995231628,1.86000001430511
VSA_EState3,-1.03999996185303,1
fr_ketone,-1.5,1
Chi3v,-2,1
fr_piperdine,0,4.75
MolMR,-2.5,2.25999999046326
AUTOCORR2D_190,-2.02999997138977,2.24000000953674
SlogP_VSA5,-2.86999988555908,2.39000010490417
BCUT2D_CHGLO,-2.04999995231628,1.4099999666214
AUTOCORR2D_152,-1.83000004291534,4.07000017166138
AUTOCORR2D_38,0,3.41000008583069
fr_benzodiazepine,0,2.23000001907349
fr_diazo,0,3.20000004768372
AUTOCORR2D_174,0,3.5
AUTOCORR2D_120,0,4.5
fr_aldehyde,0,4.84999990463257
EState_VSA10,0,5.5
BCUT2D_CHGHI,0,7.03999996185303
VSA_EState5,0,6.5
AUTOCORR2D_148,0,2.94000005722046
AUTOCORR2D_61,0,2.01999998092651
AUTOCORR2D_89,0,2.88000011444092
fr_hdrzine,0,3.55999994277954
fr_lactone,0,6
MinAbsPartialCharge,0,5.5
fr_ArN,0,4.32999992370606
RingCount,0,4.80999994277954
AUTOCORR2D_104,0,6.5
fr_nitro_arom_nonortho,0,2.5
BCUT2D_MRHI,0,1.79999995231628
AUTOCORR2D_6,0,2.50999999046326
AUTOCORR2D_41,0,3.5
SlogP_VSA4,0,4.5
fr_imide,0,5.5
AUTOCORR2D_151,0,4.32999992370606
AUTOCORR2D_142,0,6.5
fr_barbitur,0,2.98000001907349
AUTOCORR2D_71,0,4.34000015258789
BCUT2D_LOGPLOW,0,2.13000011444092
AUTOCORR2D_67,0,2.95000004768372
fr_imidazole,0,3.88000011444092
AUTOCORR2D_44,0,5.98000001907349
NumSaturatedHeterocycles,0,5.5
AUTOCORR2D_18,0,4.32999992370606
Kappa2,0,6.5
PEOE_VSA3,0,2.5
AUTOCORR2D_86,0,1.87999999523163
SlogP_VSA11,0,2.5
AUTOCORR2D_50,0,4.78999996185303
fr_halogen,0,3.5
AUTOCORR2D_23,0,4.5
AUTOCORR2D_26,0,5.5
fr_aniline,0,4.32999992370606
AUTOCORR2D_58,0,6.5
