,0
transfer_amount_kg,int64
generic_sector_code,object
AUTOCORR2D_1,float32
AUTOCORR2D_10,float32
AUTOCORR2D_105,float32
AUTOCORR2D_106,float32
AUTOCORR2D_107,float32
AUTOCORR2D_138,float32
AUTOCORR2D_139,float32
AUTOCORR2D_145,float32
AUTOCORR2D_147,float32
BCUT2D_CHGHI,float32
BalabanJ,float32
EState_VSA9,float32
FpDensityMorgan1,float32
FractionCSP3,float32
Kappa1,float32
MaxAbsEStateIndex,float32
MaxAbsPartialCharge,float32
MinAbsEStateIndex,float32
MinEStateIndex,float32
MinPartialCharge,float32
NHOHCount,float64
NumRadicalElectrons,float64
PEOE_VSA1,float32
SlogP_VSA3,float32
